bgg_id,simple_mechanics,simple_category
99131,Simulation; Solo Play; Tile Placement,Historical Eras; Party / Social; War / Historical Battles
99132,Area Control; Pattern Building; Set Collection; Simulation; Turn Order; Worker Placement,Economic / Industry; Adventure / Exploration; War / Historical Battles; Party / Social; Science Fiction / Space
99166,,Card Games; Kids / Family; Sports / Racing
99219,Pattern Building; Set Collection; Real-Time; Dexterity,Abstract / Strategy; Card Games; Puzzle / Logic
99227,Party / Trivia,Print & Play; Sports / Racing
99254,Auction / Bidding; Player Elimination; Roll and Move; Set Collection; Trading,Economic / Industry; Media / Pop Culture; Party / Social
99286,Card Play; Drafting,Card Games; Pirates / Nautical
99308,Card Play,Card Games
99310,Social / Party,Trivia / Word Games
99312,Dice Rolling; Tile Placement,Historical Eras
99313,Dice Rolling; Area Movement; Movement; Map Building; Combat Resolution; Simulation; Area Control,War / Historical Battles
99358,Dice Rolling; Area Movement; Combat Resolution; Area Control,War / Historical Battles
99392,Area Control; Campaign / Scenario; Dice Rolling; Simultaneous Play,City / Civilization Building; Economic / Industry; Adventure / Exploration; Party / Social; Modern / Political Conflicts
99437,Area Movement; Map Building; Hidden Info,Party / Social; Puzzle / Logic; War / Historical Battles; Humor / Adult
99459,Dice Rolling; Map Building; Roll and Move,Party / Social; Dice / Roll Mechanics; Sports / Racing
99479,Pick-up and Deliver; Set Collection,Kids / Family; Pirates / Nautical; Economic / Industry
99573,Dice Rolling; Area Movement; Tactical Combat,War / Historical Battles
99630,Auction / Bidding; Stock / Speculation; Trading,Card Games; Economic / Industry; Print & Play
99655,Area Control; Card Play; Route Building; Pattern Building,Humor / Adult; Puzzle / Logic; City / Civilization Building
99696,Auction / Bidding; Card Play; Deduction / Hidden Info; Cooperative; Team Play; Trick Taking / Climbing,Party / Social; Card Games
99698,Dice Rolling,Print & Play; Science Fiction / Space; War / Historical Battles
99707,Area Control; Dice Rolling; Simultaneous Play,Card Games; Dice / Roll Mechanics
99770,Card Play,Party / Social; Historical Eras; Modern / Political Conflicts
99777,Hidden Movement; Cooperative; Team Play,Media / Pop Culture
99791,Auction / Bidding; Card Play; Drafting,Abstract / Strategy; Party / Social; Card Games; City / Civilization Building; Economic / Industry; Educational / STEM
99808,Area Control; Simultaneous Play,Abstract / Strategy
99875,Dice Rolling; Push Your Luck; Set Collection,Dice / Roll Mechanics; Humor / Adult; Party / Social; Science Fiction / Space
99880,Card Play; Memory / Matching,Card Games
99881,Tile Placement,Abstract / Strategy
99918,Dice Rolling; Roll and Move,
99935,Action Selection; Campaign / Scenario; Random Activation; Dice Rolling; Area Movement; Solo Play,War / Historical Battles
99949,Area Movement; Dice Rolling; Card Play; Memory / Matching; Drafting; Cooperative; Team Play; Asymmetric Powers,Adventure / Exploration; Card Games; Dice / Roll Mechanics; Fantasy / Mythical
99975,Turn Order,Card Games; Educational / STEM; Trivia / Word Games
99976,Auction / Bidding; Card Play; Map Building; Tile Placement,Action / Dexterity; Card Games; Science Fiction / Space
99992,Card Play,Card Games; Party / Social; Puzzle / Logic
100015,Dice Rolling; Race,Sports / Racing
100089,Dice Rolling; Map Building; Tile Placement,Dice / Roll Mechanics; Party / Social; Print & Play
100104,Area Movement,Puzzle / Logic; Economic / Industry
100169,Area Movement; Solo Play,City / Civilization Building; Puzzle / Logic; Educational / STEM; War / Historical Battles; Modern / Political Conflicts
100172,Area Control; Card Play,Historical Eras
100275,Route Building; Area Movement; Set Collection,Economic / Industry; Adventure / Exploration
100278,Pattern Building,Animals / Nature; Kids / Family; Educational / STEM
100374,Area Control; Area Movement; Map Building; Asymmetric Powers,City / Civilization Building; Fantasy / Mythical; Print & Play
100423,Cooperative; Team Play; Dice Rolling; Map Building; Solo Play; Asymmetric Powers,Adventure / Exploration; Card Games; Dice / Roll Mechanics; Fantasy / Mythical; War / Historical Battles; Horror / Zombies; Media / Pop Culture
100447,Cooperative; Team Play; Memory / Matching,Kids / Family; Puzzle / Logic; Party / Social; Media / Pop Culture
100470,Social / Party,Humor / Adult; Party / Social; Puzzle / Logic
100473,Route Building; Pick-up and Deliver,City / Civilization Building; Economic / Industry
100670,Bluffing; Set Collection; Trick Taking / Climbing,Animals / Nature; Card Games; Kids / Family; Educational / STEM
100679,Dice Rolling; Area Movement; Card Play; Player Elimination; Simultaneous Play; Asymmetric Powers,Fantasy / Mythical; War / Historical Battles; Humor / Adult; Party / Social
100734,Card Play; Drafting; Set Collection,Animals / Nature; Card Games; Kids / Family; Economic / Industry
100758,Pick-up and Deliver; Area Movement,Puzzle / Logic; Historical Eras; Trivia / Word Games
100795,Dice Rolling; Asymmetric Powers,Action / Dexterity; Kids / Family; War / Historical Battles
100798,Dice Rolling; Map Building,Fantasy / Mythical; Miniatures / Tabletop Battles
100901,Action Selection; Cooperative; Team Play; Dice Rolling; Area Movement; Pick-up and Deliver; Simulation; Solo Play; Asymmetric Powers,Adventure / Exploration
101013,Area Movement; Hidden Movement; Hidden Info; Cooperative; Team Play,Puzzle / Logic; Fantasy / Mythical; Miniatures / Tabletop Battles
101020,Area Control; Card Play; Drafting; Set Collection,Historical Eras; Card Games
101118,Area Movement; Tactical Combat; Dice Rolling,War / Historical Battles
101206,Dice Rolling; Area Movement; Simulation; Area Control,War / Historical Battles
101239,Card Play,Animals / Nature; Kids / Family; Sports / Racing
101335,Social / Party,Card Games; Puzzle / Logic; Trivia / Word Games
101420,Card Play,Card Games
101463,Set Collection,Abstract / Strategy
101519,Simultaneous Choice; Hidden Info; Simultaneous Play,Card Games; Puzzle / Logic
101539,Area Control; Campaign / Scenario; Dice Rolling; Area Movement; Hidden Info; Simulation,War / Historical Battles
101628,Random Activation; Area Movement; Simulation,War / Historical Battles
101629,Dice Rolling; Area Movement; Drafting; Simulation,War / Historical Battles
101644,Action Selection; Dice Rolling; Asymmetric Powers,Fantasy / Mythical; War / Historical Battles; Miniatures / Tabletop Battles
101660,Action Selection; Set Collection; Simultaneous Play,Action / Dexterity; Card Games; Party / Social; Puzzle / Logic
101668,Social / Party; Memory / Matching; Cooperative; Team Play,Party / Social
101682,Area Movement; Simulation,War / Historical Battles
101685,Card Play; Set Collection,Card Games; Party / Social; Horror / Zombies
101718,Deck / Bag Building; Card Play; Drafting; Set Collection,Animals / Nature; Card Games; Historical Eras
101721,Deck / Bag Building; Dice Rolling; Area Movement; Tactical Combat; Simultaneous Play; Turn Order; Initiative; Asymmetric Powers,Card Games; Fantasy / Mythical; War / Historical Battles
101723,Cooperative; Team Play; Trick Taking / Climbing,Card Games
101737,Dice Rolling; Dexterity,Action / Dexterity; Card Games; Media / Pop Culture
101766,Action Selection; Dice Rolling; Turn Order; Worker Placement,Dice / Roll Mechanics; Economic / Industry
101785,Cooperative; Team Play; Dice Rolling; Push Your Luck; Simultaneous Play,Dice / Roll Mechanics; War / Historical Battles
101786,Action Selection; Dice Rolling; Map Building,Miniatures / Tabletop Battles; Science Fiction / Space; War / Historical Battles
101796,Dice Rolling; Push Your Luck,Dice / Roll Mechanics
101865,Dice Rolling; Tactical Combat; Movement; Asymmetric Powers,Media / Pop Culture; Historical Eras; Miniatures / Tabletop Battles; War / Historical Battles
101872,,Card Games; Humor / Adult; Party / Social; Print & Play
101929,Campaign / Scenario; Map Building; Drafting,Miniatures / Tabletop Battles; War / Historical Battles
101930,Dice Rolling; Card Play; Set Collection; Asymmetric Powers,Card Games; Dice / Roll Mechanics
101954,Dice Rolling,Dice / Roll Mechanics; Media / Pop Culture; Pirates / Nautical
101988,Action Selection; Area Movement; Asymmetric Powers,Fantasy / Mythical; War / Historical Battles
