bgg_id,simple_mechanics,simple_category
1,Team Play; Area Control; Auction / Bidding; Dice Rolling; Card Play; Simultaneous Play,Economic / Industry; Party / Social; Modern / Political Conflicts
2,Trick Taking / Climbing,Card Games; Fantasy / Mythical
3,Area Control; Card Play; Area Movement; Variable Powers; Set Collection; Tile Placement,Abstract / Strategy; Historical Eras
4,Action Selection; Area Control; Auction / Bidding; Set Collection,Historical Eras
5,Route Building; Scoring; Card Play; Deduction / Hidden Info; Resource Management; Pattern Building; Area Movement; Stock / Speculation; Tile Placement,Economic / Industry; City / Civilization Building
6,Dice Rolling,City / Civilization Building; Pirates / Nautical
7,Pattern Building; Area Movement; Tile Placement,Abstract / Strategy; Kids / Family; City / Civilization Building
8,Map Building,City / Civilization Building; Fantasy / Mythical
9,Area Control; Tile Placement,Adventure / Exploration
10,Card Play; Route Building; Drafting; Area Movement; Programmed Movement; Turn Order; Initiative,Fantasy / Mythical; Adventure / Exploration
11,Card Play; Negotiation; Set Collection; Trading,Card Games; Economic / Industry; Party / Social
12,Auction / Bidding; Economy; Deduction / Hidden Info; Push Your Luck; Set Collection,Historical Eras; Fantasy / Mythical
13,Engine Building; Dice Rolling; Card Play; Area Movement; Deduction / Hidden Info; Resource Management; Map Building; Route Building; Race; Random / Luck; Take That; Trading; Variable Setup,Economic / Industry; Party / Social
14,Roll and Move; Set Collection; Simultaneous Play,Party / Social
15,Team Play; Card Play; Negotiation; Asymmetric Powers,Party / Social; Science Fiction / Space
16,Auction / Bidding,Economic / Industry
17,Dice Rolling; Push Your Luck,Card Games; Dice / Roll Mechanics; War / Historical Battles; Print & Play
18,Action Selection; Random / Luck; Area Movement; Player Penalty; Map Building; Programmed Movement; Race; Campaign / Scenario; Simultaneous Play,Puzzle / Logic; Miniatures / Tabletop Battles; Sports / Racing; Science Fiction / Space
19,Tile Placement; Voting,Historical Eras; Party / Social; City / Civilization Building
20,Action Selection; Real-Time,Miniatures / Tabletop Battles; Science Fiction / Space
21,,City / Civilization Building; Adventure / Exploration; Science Fiction / Space; War / Historical Battles
22,Action Selection; Dice Rolling; Event Cards; Map Building; Party / Trivia; Player Elimination; Area Movement; Role Playing; Simultaneous Play; Asymmetric Powers; Variable Setup,Adventure / Exploration; Fantasy / Mythical; War / Historical Battles
23,Dice Rolling; Event Cards; Area Movement; Movement; Drafting; Player Elimination; Simulation; Turn Order; Asymmetric Powers; Variable Setup; Area Control,Fantasy / Mythical; Modern / Political Conflicts; War / Historical Battles
24,Dice Rolling; Area Movement; Map Building; Tile Placement; Asymmetric Powers; Voting,City / Civilization Building; Party / Social; Modern / Political Conflicts; Science Fiction / Space; War / Historical Battles
25,Dice Rolling; Area Movement,Adventure / Exploration; Fantasy / Mythical; War / Historical Battles
26,Area Movement; Auction / Bidding; Simulation,City / Civilization Building; Economic / Industry; Historical Eras
27,Stock / Speculation; Dice Rolling,Economic / Industry; Modern / Political Conflicts; War / Historical Battles
28,Dice Rolling; Route Building; Drafting; Tile Placement; Asymmetric Powers,Card Games; Humor / Adult; Party / Social; Modern / Political Conflicts; Science Fiction / Space
29,Action Selection; Map Building,War / Historical Battles; Humor / Adult
30,Area Movement; Push Your Luck,Adventure / Exploration; Card Games; Fantasy / Mythical; War / Historical Battles
31,Dice Rolling; Area Movement,Adventure / Exploration; Fantasy / Mythical; War / Historical Battles; Miniatures / Tabletop Battles
32,Area Movement,Abstract / Strategy; Historical Eras; Kids / Family
34,Cooperative; Team Play; Role Playing; Asymmetric Powers,Adventure / Exploration; Horror / Zombies; Media / Pop Culture
36,Dice Rolling; Area Movement; Movement; Simulation,Science Fiction / Space; War / Historical Battles
37,,Fantasy / Mythical; War / Historical Battles
38,Deduction / Hidden Info,Puzzle / Logic; Trivia / Word Games
39,Area Control; Area Movement; Event Cards; Drafting; Party / Trivia; Simultaneous Choice; Sudden Death; Asymmetric Powers; Variable Setup,Party / Social; Fantasy / Mythical; Media / Pop Culture
40,Area Movement; Random / Luck; Simulation; Trading,Party / Social; City / Civilization Building; Fantasy / Mythical; Modern / Political Conflicts
41,Dice Rolling; Push Your Luck; Race; Roll and Move; Movement,Dice / Roll Mechanics
42,Area Control; Engine Building; Route Building; Commitment / Bidding; Card Play; Deduction / Hidden Info; Scoring Variant; Resource Management; Set Collection; Area Movement; Take That; Tile Placement,Abstract / Strategy; Historical Eras; City / Civilization Building
43,Resource Management; Route Building; Stock / Speculation,Economic / Industry
44,Trick Taking / Climbing,Animals / Nature; Card Games; Kids / Family; Historical Eras
45,Bluffing; Dice Rolling; Player Elimination,Party / Social; Kids / Family; Dice / Roll Mechanics; Media / Pop Culture
46,Auction / Bidding; Resource Management; Push Your Luck; Set Collection; Scoring,Historical Eras
47,Pattern Building; Resource Management; Negotiation; Set Collection; Tile Placement; Trading; Scoring,City / Civilization Building; Economic / Industry; Party / Social
48,Auction / Bidding,Historical Eras; Modern / Political Conflicts
49,Card Play; Memory / Matching,Card Games; Puzzle / Logic
50,Card Play; Turn Order; Push Your Luck; Scoring; Set Collection,Card Games; Adventure / Exploration; Educational / STEM
51,Area Movement; Map Building; Real-Time; Turn Order; Initiative; Variable Setup,Abstract / Strategy; Puzzle / Logic
52,Area Movement,Fantasy / Mythical; City / Civilization Building; War / Historical Battles
53,,Economic / Industry
54,Action Selection; Area Control; Auction / Bidding; Event Cards; Area Movement; Take That; Pattern Building; Map Building; Set Collection; Tile Placement; Scoring,Adventure / Exploration; Historical Eras; City / Civilization Building
55,Dice Rolling,Media / Pop Culture; Trivia / Word Games
57,Auction / Bidding; Stock / Speculation,Economic / Industry
58,Area Control; Area Movement; Dice Rolling; Event Cards; Map Building; Hidden Info,Party / Social; Adventure / Exploration; Fantasy / Mythical; Humor / Adult; City / Civilization Building; War / Historical Battles
59,Auction / Bidding; Stock / Speculation; Card Play,Economic / Industry; Adventure / Exploration
60,Area Control; Area Movement; Resource Drafting; Route Building; Race; Capture / Elimination; Take That; Asymmetric Powers; Variable Setup; Scoring,Historical Eras; City / Civilization Building
61,Set Collection,Abstract / Strategy; Historical Eras
62,Action Selection,Adventure / Exploration; Historical Eras; Horror / Zombies
63,Area Movement; Dice Rolling; Movement; Combat Resolution; Simulation; Turn Order; Initiative,Historical Eras; Modern / Political Conflicts; War / Historical Battles
64,Area Control; Area Movement; Dice Rolling; Card Play; Take That; Cooperative; Team Play,Card Games; Historical Eras; Modern / Political Conflicts; War / Historical Battles
66,Area Control; Auction / Bidding; Pattern Building; Map Building; Negotiation; Area Movement,Historical Eras; Modern / Political Conflicts
67,Action Selection; Area Movement,Abstract / Strategy; Historical Eras; War / Historical Battles
68,Campaign / Scenario; Dice Rolling; Area Movement,Historical Eras; War / Historical Battles
69,Area Movement; Pattern Building,Abstract / Strategy
70,Card Play; Map Building; Tile Placement,City / Civilization Building
71,Area Control; Area Movement; Card Play; Set Collection; Simulation; Tech Tree / Upgrades; Trading; Turn Order; Initiative,Historical Eras; City / Civilization Building; Economic / Industry; Party / Social
72,Card Play; Map Building; Drafting; Cooperative; Team Play; Asymmetric Powers,Card Games; Modern / Political Conflicts
73,Auction / Bidding; Drafting; Set Collection,Card Games
74,Card Play; Social / Party; Simultaneous Play,Card Games; Humor / Adult; Party / Social; Trivia / Word Games
75,Card Play,Card Games; Fantasy / Mythical; Print & Play; Puzzle / Logic
76,Area Control; Random Activation; Dice Rolling,Economic / Industry; City / Civilization Building
77,Dice Rolling; Area Movement; Hidden Info; Simulation,War / Historical Battles
78,Dice Rolling; Area Movement; Hidden Info,War / Historical Battles
79,Dice Rolling; Area Movement; Hidden Info; Simulation,War / Historical Battles
82,Dice Rolling; Hidden Info,War / Historical Battles
83,Hidden Info,War / Historical Battles
84,Dice Rolling; Area Movement; Hidden Info; Simulation,War / Historical Battles
85,Dice Rolling; Area Movement; Hidden Info; Simulation,Abstract / Strategy; War / Historical Battles
87,Dice Rolling; Area Movement; Hidden Info,War / Historical Battles
88,Action Selection; Area Control; Pattern Building; Area Movement; Card Play; 3D Movement; Tile Placement,Abstract / Strategy; Historical Eras
89,Dice Rolling; Event Cards; Commitment / Bidding; Card Play; Map Building,War / Historical Battles; Card Games; Dice / Roll Mechanics
90,Card Play,Card Games; Media / Pop Culture; Science Fiction / Space
91,Campaign / Scenario; Dice Rolling; Area Movement,War / Historical Battles
93,Action Selection; Area Control; Auction / Bidding; Card Play; Drafting; Turn Order; Simultaneous Play; Take That; Turn Order; Initiative,Historical Eras
94,Route Building; Drafting; Stock / Speculation,Economic / Industry
95,Area Movement; Race; Roll and Move,Animals / Nature; Kids / Family; Dice / Roll Mechanics
96,Action Selection; Dice Rolling; Area Movement; Card Play,Pirates / Nautical; War / Historical Battles
97,Area Movement; Dice Rolling,Historical Eras; Economic / Industry; War / Historical Battles
98,Area Movement; Dice Rolling; Hidden Info; Dice; Skill Check; Cooperative; Team Play,Economic / Industry; War / Historical Battles
99,Area Movement; Dice Rolling; Simulation,Modern / Political Conflicts; Science Fiction / Space; War / Historical Battles
101,Auction / Bidding,Card Games; Sports / Racing
102,Set Collection,Card Games
103,Dice Rolling; Hidden Info; Player Elimination; Roll and Move; Set Collection,Fantasy / Mythical; War / Historical Battles
104,Area Control; Set Collection; Simulation; Tile Placement,City / Civilization Building
105,Bluffing; Scoring; Card Play; Resource Management; Variable Powers; Take That,Card Games; Fantasy / Mythical
106,Card Play; Set Collection; Voting,Card Games; Party / Social
108,Action Selection; Pattern Building; Area Movement,Abstract / Strategy; Puzzle / Logic
109,Auction / Bidding,City / Civilization Building
110,Auction / Bidding; Pick-up and Deliver; Roll and Move,Economic / Industry; Media / Pop Culture
111,Area Control; Pattern Building; Card Play,Abstract / Strategy; Historical Eras; City / Civilization Building
112,Area Control; Auction / Bidding; Card Play,Party / Social; Card Games; Historical Eras
113,Trick Taking / Climbing,Card Games
114,Auction / Bidding; Memory / Matching; Trading,Abstract / Strategy; Party / Social; City / Civilization Building; Economic / Industry
115,Dice Rolling; Card Play; Negotiation; Roll and Move; Set Collection; Take That,Economic / Industry; Party / Social
116,Card Play; Drafting; Set Collection; Take That,Abstract / Strategy; Card Games; Humor / Adult
117,Route Building; Cooperative; Team Play; Tile Placement,Abstract / Strategy
118,Auction / Bidding; Stock / Speculation; Card Play; Scoring,Card Games; Economic / Industry
119,Tile Placement,Abstract / Strategy; Fantasy / Mythical; Historical Eras
120,Simultaneous Choice; Set Collection; Simultaneous Play,Party / Social
121,Team Play; Area Control; Area Movement; Auction / Bidding; Commitment / Bidding; Card Play; Map Manipulation; Cooperative; Team Play; Asymmetric Powers,Party / Social; War / Historical Battles; Media / Pop Culture; Modern / Political Conflicts; Science Fiction / Space
122,Negotiation; Area Movement; Trading; Voting,Historical Eras; Party / Social; Modern / Political Conflicts
124,Random / Luck; Dice Rolling; Area Movement; Asymmetric Powers,Historical Eras
125,Auction / Bidding; Set Collection; Simultaneous Play,Card Games
126,Bluffing; Roll and Move,Animals / Nature; Sports / Racing
127,Cooperative; Team Play; Simultaneous Play; Asymmetric Powers,Puzzle / Logic; Science Fiction / Space
128,Pattern Building; Tile Placement,Abstract / Strategy; Puzzle / Logic
130,Map Building; Area Movement; Route Building; Pick-up and Deliver,Fantasy / Mythical; Economic / Industry
132,Area Control; Card Play; Set Collection,Historical Eras; Party / Social; Card Games
133,Map Building,Adventure / Exploration; Horror / Zombies
134,Tile Placement,Pirates / Nautical; Sports / Racing
135,Area Control; Stock / Speculation; Map Building; Area Movement; Take That; Tile Placement; Turn Order; Initiative,City / Civilization Building; Pirates / Nautical; Historical Eras
136,,Card Games
137,Dice Rolling; Passing Mechanic,Card Games; Party / Social; Puzzle / Logic; Trivia / Word Games
139,Deduction / Hidden Info; Voting,Party / Social; Puzzle / Logic; Fantasy / Mythical; Historical Eras
140,Stock / Speculation; Negotiation; Real-Time; Set Collection; Trading,Card Games; Economic / Industry; Party / Social
141,Area Control; Set Collection; Trading,Science Fiction / Space; City / Civilization Building
142,Area Control; Stock / Speculation; Simultaneous Play,Economic / Industry
144,Dice Rolling,Party / Social
145,,City / Civilization Building; Party / Social
146,Stock / Speculation,Economic / Industry
147,Stock / Speculation; Dice Rolling; Scoring; Event Cards; Resource Management; Random / Luck; Simulation; Area Movement; Tile Placement,Economic / Industry
148,Simultaneous Choice; Simultaneous Play,Party / Social; Historical Eras
150,Dexterity; Map Building; Race,Action / Dexterity; Kids / Family; Party / Social; Sports / Racing
151,,Action / Dexterity; Pirates / Nautical
152,Bluffing; Cooperative; Team Play; Trick Taking / Climbing,Card Games
153,Card Play,Card Games; Puzzle / Logic
154,Card Play; Pick-up and Deliver,Historical Eras; Card Games; Economic / Industry
155,Drafting; Trick Taking / Climbing,Card Games; Puzzle / Logic
156,Route Building; Area Movement,Animals / Nature; Adventure / Exploration; Economic / Industry
157,Route Building; Map Building; Area Movement; Pick-up and Deliver,Economic / Industry
162,Area Movement; Dice Rolling; Movement; Simulation; Asymmetric Powers; Variable Setup,Science Fiction / Space; War / Historical Battles
163,Party / Trivia; Voting,Party / Social; Trivia / Word Games
164,Push Your Luck,Card Games; Modern / Political Conflicts
165,Deduction / Hidden Info; Hidden Info,Abstract / Strategy; Puzzle / Logic
166,Action Selection; Dice Rolling; Area Movement; Simulation; Asymmetric Powers,Educational / STEM; Historical Eras
167,Stock / Speculation,Economic / Industry
168,Route Building; Map Building; Area Movement; Movement; Pick-up and Deliver,Economic / Industry
169,Card Play; Area Control,Card Games; Sports / Racing
170,Card Play; Player Elimination; Take That,Card Games; Party / Social
171,Area Movement; Variable Powers; Movement; Capture / Elimination; Sudden Death,Abstract / Strategy
172,Auction / Bidding; Card Play; Turn Order,Card Games; Economic / Industry
173,Dice; Movement; Area Movement; Player Elimination; Push Your Luck; Race; Roll and Move; Simulation; Cooperative; Team Play,Sports / Racing
174,Card Play; Set Collection; Trick Taking / Climbing,Card Games
175,Auction / Bidding; Simultaneous Play,Animals / Nature; Card Games
176,Action Selection; Auction / Bidding; Card Play,Card Games; Horror / Zombies
178,Pattern Building; Asymmetric Powers,Abstract / Strategy
179,Area Movement,Abstract / Strategy
180,Simultaneous Play; Tile Placement,Abstract / Strategy; Card Games
181,Area Control; Area Movement; Dice Rolling; Card Play; Resource Management; Player Elimination; Set Collection; Variable Setup,City / Civilization Building; War / Historical Battles
182,Card Play; Set Collection; Cooperative; Team Play,Card Games; Historical Eras
183,Area Control,Abstract / Strategy
185,Area Movement; Race; Roll and Move; Take That,Abstract / Strategy; Dice / Roll Mechanics; Print & Play
186,Pattern Building; Area Movement; Cooperative; Team Play,Card Games
188,Engine Building; Pattern Building; Area Movement,Abstract / Strategy
189,Dice Rolling; Card Play; Memory / Matching; Trading,Historical Eras; Party / Social
190,Auction / Bidding,Card Games
192,Simultaneous Play; Trading,Card Games
193,Dice Rolling; Push Your Luck,Dice / Roll Mechanics
194,Dice Rolling; Take That,Card Games; City / Civilization Building; Media / Pop Culture; Fantasy / Mythical
195,Dice Rolling,Dice / Roll Mechanics; Sports / Racing
196,Hidden Info; Voting,Party / Social; Modern / Political Conflicts
197,Pick-up and Deliver,Card Games; Economic / Industry
198,Set Collection,Card Games; Pirates / Nautical
199,Area Control; Card Play,City / Civilization Building
200,Area Control; Map Building; Tile Placement,Adventure / Exploration
201,Area Control; Area Movement; Card Play; Movement; Pattern Building; Capture / Elimination; Sudden Death; Tile Placement,Abstract / Strategy; Historical Eras
202,Map Building; Player Elimination; Tile Placement; Variable Setup,Historical Eras; War / Historical Battles
204,Action Selection; Area Control; Auction / Bidding; Engine Building; Scoring; Area Movement; Resource Management; Route Building; Set Collection; Stock / Speculation; Take That; Tile Placement,Economic / Industry
206,Trick Taking / Climbing,Card Games
207,,Action / Dexterity; Card Games
208,,Card Games
210,Take That,Card Games; Economic / Industry; Party / Social
211,,Party / Social; Trivia / Word Games
214,Card Play; Pattern Building; Tile Placement,Abstract / Strategy
215,Card Play; Trick Taking / Climbing; Bluffing; Cooperative; Team Play,Card Games
216,Area Control; Tile Placement; Asymmetric Powers,Abstract / Strategy; War / Historical Battles
217,Action Selection; Dice Rolling; Set Collection,Action / Dexterity
218,Auction / Bidding; Set Collection,Party / Social
219,Card Play; Tile Placement,Economic / Industry
220,Auction / Bidding; Card Play,Card Games
221,Area Control; Area Movement; Auction / Bidding; Dice Rolling; Simultaneous Play,War / Historical Battles; Historical Eras; City / Civilization Building
222,Drafting; Set Collection,Card Games; Science Fiction / Space
223,Route Building; Negotiation; Area Movement; Race; Movement,Adventure / Exploration; Educational / STEM; Economic / Industry
224,Area Control; Dice Rolling; Card Play,City / Civilization Building; Historical Eras; War / Historical Battles
225,,Abstract / Strategy; Puzzle / Logic
226,Map Building; Route Building,Abstract / Strategy
228,Card Play; Take That,Card Games; War / Historical Battles
229,Card Play; Resource Management; Drafting; Area Movement,Card Games; Fantasy / Mythical; Adventure / Exploration
230,Stock / Speculation; Dice Rolling; Movement; Pick-up and Deliver; Area Movement; Roll and Move; Solo Play; Trading; Variable Setup,Economic / Industry; Adventure / Exploration; Science Fiction / Space
231,Area Movement; Asymmetric Powers,War / Historical Battles; Historical Eras
232,Area Movement; Dice Rolling; Pick-up and Deliver; Trading; Turn Order; Initiative,Economic / Industry; Pirates / Nautical; Historical Eras
234,Area Control; Campaign / Scenario; Dice Rolling; Event Cards; Area Movement; Simulation,Historical Eras; Modern / Political Conflicts; War / Historical Battles
235,Dice Rolling; Area Movement; Movement; Simulation; Solo Play; Asymmetric Powers,Adventure / Exploration; Abstract / Strategy; Pirates / Nautical; War / Historical Battles
237,Action Selection; Dice Rolling; Area Movement; Tactical Combat; Simulation; Simultaneous Play,Abstract / Strategy; War / Historical Battles; Pirates / Nautical
239,Dice Rolling; Area Movement; Movement; Combat Resolution; Simulation; Area Control,War / Historical Battles
240,Area Movement; Dice Rolling; Simulation; Dice; Skill Check; Voting,Historical Eras; City / Civilization Building; War / Historical Battles
241,Area Movement; Push Your Luck; Simulation,Adventure / Exploration; Historical Eras; War / Historical Battles
242,Area Movement; Bluffing; Dice Rolling; Event Cards; Card Play; Simultaneous Play; Trading; Asymmetric Powers; Voting,Economic / Industry; Humor / Adult; Party / Social; Modern / Political Conflicts
243,Dice; Random Events; Dice Rolling; Area Movement; Reaction; Tactical Combat; Map Building; Movement; Combat Resolution; Campaign / Scenario; Hidden Info; Simulation; Asymmetric Powers; Variable Setup,War / Historical Battles
244,Action Selection; Bluffing; Dice Rolling; Area Movement; Party / Trivia; Player Elimination; Push Your Luck; Campaign / Scenario; Asymmetric Powers,Historical Eras; War / Historical Battles; Sports / Racing
246,,Card Games; Modern / Political Conflicts
247,Drafting; Set Collection,Card Games
248,Area Movement; Event Cards; Party / Trivia; Pick-up and Deliver; Role Playing; Set Collection; Simulation,Historical Eras; Party / Social; Modern / Political Conflicts; City / Civilization Building
249,Player Elimination; Simultaneous Play; Voting,Pirates / Nautical; Party / Social
250,Area Control; Area Movement; Player Elimination; Simultaneous Play,Party / Social; Modern / Political Conflicts; War / Historical Battles; City / Civilization Building
252,Dice Rolling; Area Movement; Area Control,War / Historical Battles
254,Area Movement; Dice Rolling; Movement; Campaign / Scenario; Hidden Info; Simulation; Asymmetric Powers; Variable Setup,Economic / Industry; War / Historical Battles; Party / Social; Modern / Political Conflicts
255,Dice Rolling; Area Movement; Combat Resolution; Area Control,War / Historical Battles
256,Random / Luck; Area Movement; Map Building; Pick-up and Deliver; Race,Pirates / Nautical; Sports / Racing; Economic / Industry
257,Card Play; Tactical Combat; Drafting; Area Movement,Humor / Adult; Party / Social
258,Card Play; Set Collection,Card Games
259,Trick Taking / Climbing,Card Games; Pirates / Nautical; War / Historical Battles
260,Dice Rolling; Map Building,Media / Pop Culture; Science Fiction / Space; War / Historical Battles
261,Simultaneous Play,Historical Eras; Card Games; Sports / Racing
263,Area Control; Card Play; Drafting; Simultaneous Choice,Card Games
264,Dice Rolling; Card Play; Take That,Abstract / Strategy; War / Historical Battles; Card Games; Pirates / Nautical
265,Area Control; Auction / Bidding; Negotiation; Card Play,Party / Social; Historical Eras
267,Area Control; Area Movement,Economic / Industry
268,Stock / Speculation; Set Collection; Tile Placement,Historical Eras
270,Area Control; Scoring; Event Cards; Drafting; Set Collection; Simulation; Take That,City / Civilization Building; Economic / Industry
271,Memory / Matching; Set Collection,Card Games; Puzzle / Logic
272,Simultaneous Play; Tile Placement; Voting,City / Civilization Building; Party / Social
273,Area Control; Area Movement; Player Elimination; Simultaneous Play,Party / Social; Adventure / Exploration; Modern / Political Conflicts; War / Historical Battles
274,Dice Rolling; Card Play; Deduction / Hidden Info; Drafting; Scoring; Simulation; Asymmetric Powers,Card Games; War / Historical Battles; Modern / Political Conflicts
275,Negotiation; Event Cards; Card Play; Set Collection; Variable Setup; Take That,Historical Eras
276,Tactical Combat; Simulation; Asymmetric Powers,Economic / Industry; War / Historical Battles; Party / Social
277,Set Collection; Trading,Card Games; City / Civilization Building
278,Dice Rolling; Card Play; Map Building; Drafting; Race; Random / Luck; Trading,Card Games; City / Civilization Building
279,Card Play; Movement; Pattern Building; Area Movement; Take That; Tile Placement,Abstract / Strategy; Card Games
280,,Abstract / Strategy; Card Games
281,Stock / Speculation; Pick-up and Deliver,Economic / Industry; Pirates / Nautical
282,Area Control; Area Movement; Dice Rolling,Historical Eras; War / Historical Battles
283,Dice Rolling; Area Movement; Campaign / Scenario; Simulation; Tech Tree / Upgrades,War / Historical Battles
284,Area Movement; Auction / Bidding; Drafting; Trading,Historical Eras; Economic / Industry; Party / Social; War / Historical Battles
285,,Science Fiction / Space; War / Historical Battles
286,Area Movement; Dice Rolling; Player Elimination; Simulation; Simultaneous Play; Asymmetric Powers,Party / Social; Modern / Political Conflicts; Historical Eras; War / Historical Battles
287,Set Collection; Trading,Abstract / Strategy; Educational / STEM; Puzzle / Logic
288,Area Movement,War / Historical Battles
289,Area Movement; Dice Rolling; Simulation; Asymmetric Powers,Historical Eras; City / Civilization Building; War / Historical Battles
290,Card Play; Stock / Speculation,Historical Eras; Card Games
291,Card Play; Role Playing; Trading,Party / Social; Modern / Political Conflicts
292,Auction / Bidding; Card Play; Set Collection,Card Games; Historical Eras
293,Push Your Luck; Dexterity,Action / Dexterity; Party / Social
294,Auction / Bidding; Set Collection; Worker Placement,Party / Social; Fantasy / Mythical; Historical Eras
295,Voting,Party / Social; Modern / Political Conflicts
296,Area Control; Resource Management,Economic / Industry; Historical Eras
297,Auction / Bidding,City / Civilization Building; Modern / Political Conflicts
298,Voting,War / Historical Battles
299,Action Selection; Dice Rolling; Tactical Combat; Dexterity; Map Building; Simulation,Historical Eras; Media / Pop Culture; Miniatures / Tabletop Battles; War / Historical Battles
300,Map Building; Drafting; Set Collection,Abstract / Strategy; Historical Eras
301,Area Control; Bluffing; Card Play; Tile Placement,Card Games
302,Area Control,Abstract / Strategy; Historical Eras
303,,Card Games; Party / Social; Modern / Political Conflicts
304,Stock / Speculation,Card Games; Media / Pop Culture
305,Stock / Speculation; Trading,Party / Social; Pirates / Nautical
307,,Modern / Political Conflicts
308,Route Building; Drafting,Economic / Industry
309,Area Control; Card Play; Route Building,Abstract / Strategy; Card Games
310,Area Movement; Dice Rolling; Simulation; Turn Order,Adventure / Exploration; Fantasy / Mythical; War / Historical Battles
311,Asymmetric Powers,Science Fiction / Space
312,Card Play; Set Collection; Variable Setup; Take That; Scoring,Card Games; Humor / Adult
313,Stock / Speculation; Card Play; Resource Management; Tile Placement; Scoring,Economic / Industry; City / Civilization Building
314,Action Selection; Area Movement,Historical Eras; War / Historical Battles
315,Area Movement; Asymmetric Powers,Abstract / Strategy
316,Area Movement,Abstract / Strategy; Dice / Roll Mechanics
317,,Party / Social
319,Tile Placement,Abstract / Strategy
320,Scoring; Card Play; Social / Party; Area Movement; Tile Placement,Trivia / Word Games
321,Area Movement; Map Building; Race,Animals / Nature; Kids / Family
322,Bluffing; Negotiation; Dice Rolling; Set Collection,Economic / Industry; Pirates / Nautical; Sports / Racing
323,Area Control; Dice Rolling,Historical Eras; City / Civilization Building
324,Auction / Bidding,Economic / Industry
327,Player Elimination; Real-Time,Action / Dexterity; Animals / Nature; Economic / Industry; Kids / Family; Card Games; Media / Pop Culture; Puzzle / Logic
328,Card Play,War / Historical Battles; Card Games
329,Dice Rolling; Area Movement; Simulation,War / Historical Battles
330,Action Selection; Dice Rolling,Media / Pop Culture; Science Fiction / Space; War / Historical Battles
332,Auction / Bidding; Stock / Speculation; Dice Rolling,Economic / Industry; Party / Social
333,Take That; Tile Placement,Card Games
334,Area Control; Dice Rolling; Card Play; Take That,Economic / Industry
335,Area Movement,Abstract / Strategy; Pirates / Nautical
336,Area Movement,Abstract / Strategy
337,Drafting; Push Your Luck; Set Collection,Animals / Nature; Card Games
338,Set Collection; Trick Taking / Climbing,Card Games
339,Card Play; Set Collection; Social / Party,Card Games; Trivia / Word Games
340,Card Play; Trick Taking / Climbing; Cooperative; Team Play,Animals / Nature; Card Games
342,Area Movement; Dexterity,Abstract / Strategy; City / Civilization Building
343,Card Play,Party / Social; Card Games
344,Bluffing; Card Play,Card Games
345,Route Building; Stock / Speculation,Economic / Industry
347,Card Play,Animals / Nature; Party / Social
348,Stock / Speculation; Pick-up and Deliver; Movement; Asymmetric Powers,Economic / Industry; Historical Eras; Party / Social
349,Set Collection; Simultaneous Play,Card Games
350,Trick Taking / Climbing,Card Games
352,Trick Taking / Climbing,Card Games
353,Card Play,Card Games; Puzzle / Logic; Party / Social
354,Card Play; Take That; Trick Taking / Climbing,Card Games
355,Auction / Bidding; Negotiation,Animals / Nature; City / Civilization Building
356,Dice Rolling; Race,Economic / Industry
357,Dice Rolling; Push Your Luck; Race,Dice / Roll Mechanics
359,Card Play,Animals / Nature; Card Games; Kids / Family
360,,Card Games; Historical Eras
361,Card Play; Resource Management,Animals / Nature; Sports / Racing
362,,Abstract / Strategy; Animals / Nature; Sports / Racing
363,Auction / Bidding; Set Collection,Card Games
364,Pick-up and Deliver; Race; Set Collection; Area Movement; Trading,Economic / Industry
365,Trick Taking / Climbing,Card Games
366,Dice Rolling; Roll and Move,Sports / Racing
367,Trick Taking / Climbing,Card Games
368,Card Play; Simultaneous Play; Trick Taking / Climbing,Card Games
369,Card Play; Pattern Building; Take That,Abstract / Strategy; Card Games; Kids / Family; Puzzle / Logic
371,Card Play; Set Collection; Cooperative; Team Play,Card Games; Party / Social
372,Card Play; Set Collection,Card Games
373,Auction / Bidding,Party / Social; Card Games
374,Auction / Bidding; Simultaneous Play; Tile Placement,Historical Eras
375,Area Control; Card Play,Science Fiction / Space
376,Card Play; Mancala; Pattern Building; Area Movement; Race; Tile Placement,Card Games
378,Map Building; Pick-up and Deliver,Economic / Industry
379,Set Collection; Take That,Card Games; Economic / Industry
380,Dexterity,Abstract / Strategy; Action / Dexterity
381,Dice Rolling,Card Games; Dice / Roll Mechanics
382,Deduction / Hidden Info; Roll and Move; Movement,Party / Social; Modern / Political Conflicts
383,Bluffing; Dice Rolling,Animals / Nature; Dice / Roll Mechanics; Sports / Racing
384,Dice Rolling; Card Play; Roll and Move,Animals / Nature; Sports / Racing
386,Pick-up and Deliver; Roll and Move,Pirates / Nautical
387,Card Play,Party / Social; Card Games
388,Dice Rolling; Set Collection,Card Games; Sports / Racing
389,Simultaneous Play,Party / Social
391,Set Collection,Animals / Nature; Card Games
392,Real-Time; Asymmetric Powers,Card Games; War / Historical Battles; Print & Play; Puzzle / Logic
393,Dice Rolling; Event Cards; Area Movement; Map Building; Drafting; Race; Trading; Variable Setup,Adventure / Exploration; Animals / Nature; Media / Pop Culture; Historical Eras; Science Fiction / Space
394,Area Control; Card Play; Route Building; Drafting; Set Collection; Sudden Death; Variable Setup; Take That,Abstract / Strategy
396,,Card Games
397,Action Selection; Asymmetric Powers,Card Games; Fantasy / Mythical; War / Historical Battles
